minutes,mp,nineties,gls,ast,ga,gls_p90_raw,ast_p90_raw,ga_p90_raw,player,team,pos,age,nation,league,season,sh,sot,int,tklw,crs,fls,fld,source,gls_p90,ast_p90,ga_p90,sh_p90,sot_p90,crs_p90,int_p90,tklw_p90,fls_p90,fld_p90,pos_main,budget_est,player_id
1400.0,23,15.6,0,1,1,0.0,0.06,0.06,Abner,Real Betis,DF,23,br BRA,La Liga,2324,4,0,16,18,26,17,2,fbref_cache,0.0,0.06410256410256411,0.06410256410256411,0.25641025641025644,0.0,1.6666666666666667,1.0256410256410258,1.153846153846154,1.0897435897435899,0.12820512820512822,DF,16.28,0
2312.0,27,25.7,0,0,0,0.0,0.0,0.0,Abdel Abqar,Alavés,DF,24,ma MAR,La Liga,2324,10,3,25,21,2,32,23,fbref_cache,0.0,0.0,0.0,0.38910505836575876,0.11673151750972763,0.07782101167315175,0.9727626459143969,0.8171206225680934,1.245136186770428,0.8949416342412452,DF,14.4,1
1292.0,21,14.4,1,2,3,0.07,0.14,0.21,Marcos Acuña,Sevilla,"DF,MF",31,ar ARG,La Liga,2324,9,4,3,20,84,18,17,fbref_cache,0.06944444444444445,0.1388888888888889,0.20833333333333331,0.625,0.2777777777777778,5.833333333333333,0.20833333333333331,1.3888888888888888,1.25,1.1805555555555556,DF,9.79,2
777.0,12,8.6,0,0,0,0.0,0.0,0.0,Lucien Agoume,Sevilla,MF,21,fr FRA,La Liga,2324,6,2,7,16,3,19,2,fbref_cache,0.0,0.0,0.0,0.6976744186046512,0.23255813953488372,0.3488372093023256,0.813953488372093,1.8604651162790697,2.2093023255813953,0.23255813953488372,MF,17.1,3
1511.0,31,16.8,2,2,4,0.12,0.12,0.24,Ilias Akhomach,Villarreal,MF,19,ma MAR,La Liga,2324,30,7,13,21,29,42,34,fbref_cache,0.11904761904761904,0.11904761904761904,0.23809523809523808,1.7857142857142856,0.41666666666666663,1.726190476190476,0.7738095238095237,1.25,2.5,2.0238095238095237,MF,23.4,4
1675.0,19,18.6,2,0,2,0.11,0.0,0.11,Sergio Akieme,Almería,"DF,MF",25,es ESP,La Liga,2324,9,5,10,15,56,18,17,fbref_cache,0.1075268817204301,0.0,0.1075268817204301,0.48387096774193544,0.26881720430107525,3.010752688172043,0.5376344086021505,0.8064516129032258,0.9677419354838709,0.9139784946236559,DF,14.95,5
1154.0,14,12.8,0,1,1,0.0,0.08,0.08,David Alaba,Real Madrid,DF,31,at AUT,La Liga,2324,14,4,15,9,17,4,0,fbref_cache,0.0,0.078125,0.078125,1.09375,0.3125,1.328125,1.171875,0.703125,0.3125,0.0,DF,8.73,6
2031.0,26,22.6,0,1,1,0.0,0.04,0.04,Raúl Albiol,Villarreal,DF,37,es ESP,La Liga,2324,6,1,17,15,0,21,8,fbref_cache,0.0,0.04424778761061947,0.04424778761061947,0.2654867256637168,0.04424778761061947,0.0,0.7522123893805309,0.663716814159292,0.9292035398230087,0.35398230088495575,DF,4.7,7
3134.0,36,34.8,3,1,4,0.09,0.03,0.11,Rubén Alcaraz,Cádiz,MF,32,es ESP,La Liga,2324,48,12,30,65,36,84,71,fbref_cache,0.08620689655172414,0.02873563218390805,0.1149425287356322,1.3793103448275863,0.3448275862068966,1.0344827586206897,0.8620689655172414,1.8678160919540232,2.4137931034482762,2.0402298850574714,MF,8.03,8
2195.0,31,24.4,0,1,1,0.0,0.04,0.04,Omar Alderete,Getafe,DF,26,py PAR,La Liga,2324,24,5,14,20,5,34,11,fbref_cache,0.0,0.04098360655737705,0.04098360655737705,0.9836065573770493,0.20491803278688525,0.20491803278688525,0.5737704918032788,0.819672131147541,1.3934426229508197,0.45081967213114754,DF,13.12,9
1692.0,30,18.8,0,2,2,0.0,0.11,0.11,Iván Alejo,Cádiz,MF,28,es ESP,La Liga,2324,11,2,6,23,151,49,49,fbref_cache,0.0,0.10638297872340426,0.10638297872340426,0.5851063829787234,0.10638297872340426,8.03191489361702,0.3191489361702127,1.2234042553191489,2.606382978723404,2.606382978723404,MF,11.95,10
1020.0,29,11.3,1,1,2,0.09,0.09,0.18,Carles Aleñá,Getafe,MF,25,es ESP,La Liga,2324,16,5,4,9,32,22,18,fbref_cache,0.08849557522123894,0.08849557522123894,0.17699115044247787,1.415929203539823,0.44247787610619466,2.831858407079646,0.35398230088495575,0.7964601769911503,1.9469026548672566,1.5929203539823007,MF,15.89,11
965.0,18,10.7,2,1,3,0.19,0.09,0.28,André Almeida,Valencia,"FW,MF",23,pt POR,La Liga,2324,10,4,3,14,16,12,20,fbref_cache,0.1869158878504673,0.09345794392523366,0.28037383177570097,0.9345794392523366,0.3738317757009346,1.4953271028037385,0.28037383177570097,1.3084112149532712,1.1214953271028039,1.869158878504673,FW,19.59,12
775.0,11,8.6,0,0,0,0.0,0.0,0.0,Adrià Altimira,Villarreal,"DF,MF",22,es ESP,La Liga,2324,1,0,5,7,5,12,4,fbref_cache,0.0,0.0,0.0,0.11627906976744186,0.0,0.5813953488372093,0.5813953488372093,0.813953488372093,1.3953488372093024,0.46511627906976744,DF,16.2,13
568.0,14,6.3,1,0,1,0.16,0.0,0.16,Sergi Altimira,Real Betis,MF,21,es ESP,La Liga,2324,7,2,8,8,1,8,8,fbref_cache,0.15873015873015872,0.0,0.15873015873015872,1.1111111111111112,0.31746031746031744,0.15873015873015872,1.2698412698412698,1.2698412698412698,1.2698412698412698,1.2698412698412698,MF,19.81,14
2537.0,34,28.2,2,0,2,0.07,0.0,0.07,Gastón Álvarez,Getafe,DF,23,uy URU,La Liga,2324,14,3,34,38,25,43,10,fbref_cache,0.07092198581560284,0.0,0.07092198581560284,0.49645390070921985,0.10638297872340426,0.8865248226950355,1.2056737588652482,1.3475177304964538,1.524822695035461,0.3546099290780142,DF,16.39,15
762.0,12,8.5,1,1,2,0.12,0.12,0.24,Hugo Álvarez,Celta Vigo,"MF,FW",20,es ESP,La Liga,2324,12,4,5,9,22,9,9,fbref_cache,0.11764705882352941,0.11764705882352941,0.23529411764705882,1.411764705882353,0.47058823529411764,2.588235294117647,0.5882352941176471,1.0588235294117647,1.0588235294117647,1.0588235294117647,MF,22.24,16
1152.0,19,12.8,0,0,0,0.0,0.0,0.0,Yeray Álvarez,Athletic Club,DF,28,es ESP,La Liga,2324,7,2,10,9,1,15,14,fbref_cache,0.0,0.0,0.0,0.546875,0.15625,0.078125,0.78125,0.703125,1.171875,1.09375,DF,10.8,17
604.0,20,6.7,0,1,1,0.0,0.15,0.15,Selim Amallah,Valencia,"MF,FW",26,ma MAR,La Liga,2324,11,5,10,12,3,21,24,fbref_cache,0.0,0.14925373134328357,0.14925373134328357,1.6417910447761193,0.7462686567164178,0.44776119402985076,1.4925373134328357,1.791044776119403,3.134328358208955,3.582089552238806,MF,14.48,18
1560.0,19,17.3,1,0,1,0.06,0.0,0.06,Miguel Ángel Rubio,Granada,DF,25,es ESP,La Liga,2324,9,2,27,14,1,20,11,fbref_cache,0.057803468208092484,0.0,0.057803468208092484,0.5202312138728323,0.11560693641618497,0.057803468208092484,1.560693641618497,0.8092485549132947,1.1560693641618496,0.6358381502890174,DF,14.28,19
543.0,11,6.0,0,0,0,0.0,0.0,0.0,Jon Aramburu,Real Sociedad,"DF,MF",21,ve VEN,La Liga,2324,4,0,7,15,7,11,5,fbref_cache,0.0,0.0,0.0,0.6666666666666666,0.0,1.1666666666666667,1.1666666666666667,2.5,1.8333333333333333,0.8333333333333334,DF,17.1,20
1462.0,25,16.2,1,0,1,0.06,0.0,0.06,Julian Araujo,Las Palmas,DF,21,mx MEX,La Liga,2324,7,2,10,21,22,13,9,fbref_cache,0.0617283950617284,0.0,0.0617283950617284,0.4320987654320988,0.1234567901234568,1.3580246913580247,0.617283950617284,1.2962962962962963,0.8024691358024691,0.5555555555555556,DF,18.16,21
1997.0,25,22.2,1,2,3,0.05,0.09,0.14,Ronald Araújo,Barcelona,DF,24,uy URU,La Liga,2324,23,9,10,22,7,25,9,fbref_cache,0.04504504504504505,0.0900900900900901,0.13513513513513514,1.0360360360360361,0.40540540540540543,0.3153153153153153,0.45045045045045046,0.990990990990991,1.1261261261261262,0.40540540540540543,DF,16.35,22
2660.0,37,29.6,1,6,7,0.03,0.2,0.24,Jesús Areso,Osasuna,"DF,MF",24,es ESP,La Liga,2324,9,2,20,26,113,30,20,fbref_cache,0.03378378378378378,0.2027027027027027,0.23648648648648649,0.30405405405405406,0.06756756756756756,3.8175675675675675,0.6756756756756757,0.8783783783783783,1.0135135135135134,0.6756756756756757,DF,17.81,23
929.0,26,10.3,2,1,3,0.19,0.1,0.29,José Arnaiz,Osasuna,"FW,MF",28,es ESP,La Liga,2324,29,9,3,8,45,8,19,fbref_cache,0.1941747572815534,0.0970873786407767,0.2912621359223301,2.815533980582524,0.8737864077669902,4.368932038834951,0.2912621359223301,0.7766990291262136,0.7766990291262136,1.8446601941747571,FW,13.95,24
2047.0,34,22.7,9,4,13,0.4,0.18,0.57,Sergio Arribas,Almería,"MF,FW",21,es ESP,La Liga,2324,60,22,14,17,59,14,42,fbref_cache,0.39647577092511016,0.1762114537444934,0.5726872246696035,2.643171806167401,0.9691629955947136,2.5991189427312777,0.6167400881057269,0.748898678414097,0.6167400881057269,1.8502202643171808,MF,26.89,25
1198.0,14,13.3,0,0,0,0.0,0.0,0.0,Kepa Arrizabalaga,Real Madrid,GK,28,es ESP,La Liga,2324,0,0,0,0,0,0,2,fbref_cache,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15037593984962405,GK,10.8,26
2707.0,35,30.1,9,10,19,0.3,0.33,0.63,Iago Aspas,Celta Vigo,FW,35,es ESP,La Liga,2324,78,28,8,6,149,19,59,fbref_cache,0.2990033222591362,0.33222591362126247,0.6312292358803986,2.5913621262458473,0.9302325581395349,4.95016611295681,0.26578073089700993,0.19933554817275748,0.6312292358803986,1.9601328903654485,FW,7.34,27
864.0,17,9.6,1,3,4,0.1,0.31,0.42,Ezequiel Ávila,Osasuna,"FW,MF",29,ar ARG,La Liga,2324,27,6,4,2,80,8,20,fbref_cache,0.10416666666666667,0.3125,0.4166666666666667,2.8125,0.625,8.333333333333334,0.4166666666666667,0.20833333333333334,0.8333333333333334,2.0833333333333335,FW,14.02,28
1423.0,25,15.8,0,2,2,0.0,0.13,0.13,César Azpilicueta,Atlético Madrid,"DF,MF",33,es ESP,La Liga,2324,2,2,16,15,11,29,12,fbref_cache,0.0,0.12658227848101264,0.12658227848101264,0.12658227848101264,0.12658227848101264,0.6962025316455696,1.0126582278481011,0.9493670886075949,1.8354430379746836,0.7594936708860759,DF,7.1,29
1430.0,25,15.9,0,0,0,0.0,0.0,0.0,Iddrisu Baba,Almería,MF,27,gh GHA,La Liga,2324,8,2,11,24,4,29,34,fbref_cache,0.0,0.0,0.0,0.5031446540880503,0.12578616352201258,0.25157232704402516,0.6918238993710691,1.5094339622641508,1.8238993710691824,2.138364779874214,MF,11.7,30
2277.0,28,25.3,0,1,1,0.0,0.04,0.04,Loïc Bade,Sevilla,DF,23,fr FRA,La Liga,2324,14,3,38,42,2,24,10,fbref_cache,0.0,0.039525691699604744,0.039525691699604744,0.5533596837944664,0.11857707509881422,0.07905138339920949,1.5019762845849802,1.6600790513833992,0.9486166007905138,0.3952569169960474,DF,15.9,31
2579.0,34,28.7,2,14,16,0.07,0.49,0.56,Álex Baena,Villarreal,"MF,FW",22,es ESP,La Liga,2324,73,26,14,20,173,52,57,fbref_cache,0.06968641114982578,0.4878048780487805,0.5574912891986062,2.543554006968641,0.9059233449477352,6.02787456445993,0.4878048780487805,0.6968641114982579,1.8118466898954704,1.986062717770035,MF,25.23,32
839.0,10,9.3,0,0,0,0.0,0.0,0.0,Eric Bailly,Villarreal,DF,29,ci CIV,La Liga,2324,2,0,8,3,0,6,5,fbref_cache,0.0,0.0,0.0,0.2150537634408602,0.0,0.0,0.8602150537634408,0.3225806451612903,0.6451612903225806,0.5376344086021505,DF,9.9,33
1378.0,18,15.3,0,1,1,0.0,0.07,0.07,Alejandro Balde,Barcelona,"DF,MF",19,es ESP,La Liga,2324,5,1,5,9,37,8,18,fbref_cache,0.0,0.06535947712418301,0.06535947712418301,0.32679738562091504,0.06535947712418301,2.418300653594771,0.32679738562091504,0.5882352941176471,0.5228758169934641,1.1764705882352942,DF,20.14,34
2873.0,33,31.9,0,1,1,0.0,0.03,0.03,Iván Balliu,Rayo Vallecano,DF,31,al ALB,La Liga,2324,11,4,28,31,69,41,30,fbref_cache,0.0,0.031347962382445145,0.031347962382445145,0.3448275862068966,0.12539184952978058,2.1630094043887147,0.877742946708464,0.9717868338557994,1.2852664576802508,0.9404388714733543,DF,8.35,35
1981.0,27,22.0,3,2,5,0.14,0.09,0.23,Jonathan Bamba,Celta Vigo,"MF,FW",27,ci CIV,La Liga,2324,41,16,17,8,50,15,65,fbref_cache,0.13636363636363635,0.09090909090909091,0.22727272727272727,1.8636363636363635,0.7272727272727273,2.272727272727273,0.7727272727272727,0.36363636363636365,0.6818181818181818,2.9545454545454546,MF,14.36,36
1837.0,32,20.4,6,0,6,0.29,0.0,0.29,Léo Baptistão,Almería,"FW,MF",30,br BRA,La Liga,2324,48,18,12,16,26,21,29,fbref_cache,0.29411764705882354,0.0,0.29411764705882354,2.3529411764705883,0.8823529411764707,1.2745098039215688,0.5882352941176471,0.7843137254901962,1.0294117647058825,1.4215686274509804,FW,11.65,37
1427.0,29,15.9,4,1,5,0.25,0.06,0.32,Ander Barrenetxea,Real Sociedad,"MF,FW",21,es ESP,La Liga,2324,37,12,7,21,46,27,22,fbref_cache,0.25157232704402516,0.06289308176100629,0.31446540880503143,2.3270440251572326,0.7547169811320754,2.893081761006289,0.44025157232704404,1.320754716981132,1.6981132075471699,1.3836477987421383,MF,22.48,38
1555.0,24,17.3,0,1,1,0.0,0.06,0.06,Pablo Barrios,Atlético Madrid,MF,20,es ESP,La Liga,2324,17,7,27,25,16,23,24,fbref_cache,0.0,0.057803468208092484,0.057803468208092484,0.9826589595375722,0.40462427745664736,0.9248554913294798,1.560693641618497,1.445086705202312,1.329479768786127,1.3872832369942196,MF,19.04,39
1530.0,17,17.0,0,0,0,0.0,0.0,0.0,Augusto Batalla,Granada,GK,27,ar ARG,La Liga,2324,1,0,0,0,0,0,2,fbref_cache,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.11764705882352941,GK,11.7,40
771.0,15,8.6,2,2,4,0.23,0.23,0.47,Sheraldo Becker,Real Sociedad,"FW,MF",28,sr SUR,La Liga,2324,21,10,1,3,45,11,5,fbref_cache,0.23255813953488372,0.23255813953488372,0.46511627906976744,2.441860465116279,1.1627906976744187,5.232558139534884,0.11627906976744186,0.3488372093023256,1.2790697674418605,0.5813953488372093,FW,15.82,41
1711.0,23,19.0,0,1,1,0.0,0.05,0.05,Héctor Bellerín,Real Betis,DF,28,es ESP,La Liga,2324,2,0,21,22,39,21,10,fbref_cache,0.0,0.05263157894736842,0.05263157894736842,0.10526315789473684,0.0,2.0526315789473686,1.105263157894737,1.1578947368421053,1.105263157894737,0.5263157894736842,DF,11.37,42
2315.0,28,25.7,19,6,25,0.74,0.23,0.97,Jude Bellingham,Real Madrid,"MF,FW",20,eng ENG,La Liga,2324,63,35,20,35,22,32,72,fbref_cache,0.7392996108949417,0.23346303501945526,0.9727626459143969,2.4513618677042803,1.3618677042801557,0.8560311284046693,0.7782101167315175,1.3618677042801557,1.245136186770428,2.8015564202334633,MF,35.51,43
2428.0,33,27.0,0,0,0,0.0,0.0,0.0,Fran Beltrán,Celta Vigo,MF,24,es ESP,La Liga,2324,21,3,19,34,19,28,16,fbref_cache,0.0,0.0,0.0,0.7777777777777778,0.1111111111111111,0.7037037037037037,0.7037037037037037,1.2592592592592593,1.037037037037037,0.5925925925925926,MF,14.4,44
1136.0,29,12.6,3,1,4,0.24,0.08,0.32,Carlos Benavídez,Alavés,MF,25,uy URU,La Liga,2324,14,7,18,35,6,37,9,fbref_cache,0.2380952380952381,0.07936507936507936,0.31746031746031744,1.1111111111111112,0.5555555555555556,0.4761904761904762,1.4285714285714286,2.7777777777777777,2.9365079365079367,0.7142857142857143,MF,17.79,45
1930.0,27,21.4,3,1,4,0.14,0.05,0.19,Yuri Berchiche,Athletic Club,DF,33,es ESP,La Liga,2324,18,6,19,26,43,29,33,fbref_cache,0.14018691588785048,0.04672897196261683,0.1869158878504673,0.8411214953271029,0.28037383177570097,2.0093457943925235,0.8878504672897197,1.2149532710280375,1.355140186915888,1.5420560747663552,DF,7.48,46
1592.0,35,17.7,7,3,10,0.4,0.17,0.57,Álex Berenguer,Athletic Club,MF,28,es ESP,La Liga,2324,32,12,5,15,139,30,22,fbref_cache,0.3954802259887006,0.16949152542372883,0.5649717514124294,1.807909604519774,0.6779661016949153,7.853107344632769,0.2824858757062147,0.8474576271186441,1.6949152542372883,1.2429378531073447,MF,16.9,47
2426.0,33,27.0,0,1,1,0.0,0.04,0.04,Antonio Blanco,Alavés,MF,23,es ESP,La Liga,2324,20,3,33,37,14,35,40,fbref_cache,0.0,0.037037037037037035,0.037037037037037035,0.7407407407407407,0.1111111111111111,0.5185185185185185,1.2222222222222223,1.3703703703703705,1.2962962962962963,1.4814814814814814,MF,15.87,48
2972.0,34,33.0,1,2,3,0.03,0.06,0.09,Daley Blind,Girona,DF,33,nl NED,La Liga,2324,17,6,19,21,16,19,12,fbref_cache,0.030303030303030304,0.06060606060606061,0.09090909090909091,0.5151515151515151,0.18181818181818182,0.48484848484848486,0.5757575757575758,0.6363636363636364,0.5757575757575758,0.36363636363636365,DF,6.87,49
