minutes,mp,nineties,gls,ast,ga,gls_p90_raw,ast_p90_raw,ga_p90_raw,player,team,pos,age,nation,league,season,sh,sot,int,tklw,crs,fls,fld,source
180.0,2,2.0,0,0,0,0.0,0.0,0.0,Nabil Aberdin,Getafe,DF,20,fr FRA,La Liga,2324,0,0,0,0,0,1,1,fbref_cache
1400.0,23,15.6,0,1,1,0.0,0.06,0.06,Abner,Real Betis,DF,23,br BRA,La Liga,2324,4,0,16,18,26,17,2,fbref_cache
2312.0,27,25.7,0,0,0,0.0,0.0,0.0,Abdel Abqar,Alavés,DF,24,ma MAR,La Liga,2324,10,3,25,21,2,32,23,fbref_cache
1292.0,21,14.4,1,2,3,0.07,0.14,0.21,Marcos Acuña,Sevilla,"DF,MF",31,ar ARG,La Liga,2324,9,4,3,20,84,18,17,fbref_cache
238.0,4,2.6,0,0,0,0.0,0.0,0.0,Julen Agirrezabala,Athletic Club,GK,22,es ESP,La Liga,2324,0,0,0,0,0,0,0,fbref_cache
777.0,12,8.6,0,0,0,0.0,0.0,0.0,Lucien Agoume,Sevilla,MF,21,fr FRA,La Liga,2324,6,2,7,16,3,19,2,fbref_cache
407.0,6,4.5,0,0,0,0.0,0.0,0.0,Joseph Aidoo,Celta Vigo,DF,27,gh GHA,La Liga,2324,3,0,3,3,0,4,0,fbref_cache
1511.0,31,16.8,2,2,4,0.12,0.12,0.24,Ilias Akhomach,Villarreal,MF,19,ma MAR,La Liga,2324,30,7,13,21,29,42,34,fbref_cache
1675.0,19,18.6,2,0,2,0.11,0.0,0.11,Sergio Akieme,Almería,"DF,MF",25,es ESP,La Liga,2324,9,5,10,15,56,18,17,fbref_cache
27.0,2,0.3,0,0,0,0.0,0.0,0.0,Paul Akouokou,Real Betis,MF,25,ci CIV,La Liga,2324,0,0,1,3,0,1,1,fbref_cache
1154.0,14,12.8,0,1,1,0.0,0.08,0.08,David Alaba,Real Madrid,DF,31,at AUT,La Liga,2324,14,4,15,9,17,4,0,fbref_cache
2031.0,26,22.6,0,1,1,0.0,0.04,0.04,Raúl Albiol,Villarreal,DF,37,es ESP,La Liga,2324,6,1,17,15,0,21,8,fbref_cache
3134.0,36,34.8,3,1,4,0.09,0.03,0.11,Rubén Alcaraz,Cádiz,MF,32,es ESP,La Liga,2324,48,12,30,65,36,84,71,fbref_cache
2195.0,31,24.4,0,1,1,0.0,0.04,0.04,Omar Alderete,Getafe,DF,26,py PAR,La Liga,2324,24,5,14,20,5,34,11,fbref_cache
1692.0,30,18.8,0,2,2,0.0,0.11,0.11,Iván Alejo,Cádiz,MF,28,es ESP,La Liga,2324,11,2,6,23,151,49,49,fbref_cache
1020.0,29,11.3,1,1,2,0.09,0.09,0.18,Carles Aleñá,Getafe,MF,25,es ESP,La Liga,2324,16,5,4,9,32,22,18,fbref_cache
249.0,11,2.8,0,0,0,0.0,0.0,0.0,Mohamed Ali Cho,Real Sociedad,FW,19,fr FRA,La Liga,2324,3,0,1,3,11,5,6,fbref_cache
336.0,10,3.7,1,0,1,0.27,0.0,0.27,Tadeo Allende,Celta Vigo,MF,24,ar ARG,La Liga,2324,8,2,3,2,9,2,3,fbref_cache
965.0,18,10.7,2,1,3,0.19,0.09,0.28,André Almeida,Valencia,"FW,MF",23,pt POR,La Liga,2324,10,4,3,14,16,12,20,fbref_cache
252.0,5,2.8,0,0,0,0.0,0.0,0.0,Marcos Alonso,Barcelona,DF,32,es ESP,La Liga,2324,3,2,3,3,15,7,6,fbref_cache
775.0,11,8.6,0,0,0,0.0,0.0,0.0,Adrià Altimira,Villarreal,"DF,MF",22,es ESP,La Liga,2324,1,0,5,7,5,12,4,fbref_cache
568.0,14,6.3,1,0,1,0.16,0.0,0.16,Sergi Altimira,Real Betis,MF,21,es ESP,La Liga,2324,7,2,8,8,1,8,8,fbref_cache
2537.0,34,28.2,2,0,2,0.07,0.0,0.07,Gastón Álvarez,Getafe,DF,23,uy URU,La Liga,2324,14,3,34,38,25,43,10,fbref_cache
762.0,12,8.5,1,1,2,0.12,0.12,0.24,Hugo Álvarez,Celta Vigo,"MF,FW",20,es ESP,La Liga,2324,12,4,5,9,22,9,9,fbref_cache
1152.0,19,12.8,0,0,0,0.0,0.0,0.0,Yeray Álvarez,Athletic Club,DF,28,es ESP,La Liga,2324,7,2,10,9,1,15,14,fbref_cache
604.0,20,6.7,0,1,1,0.0,0.15,0.15,Selim Amallah,Valencia,"MF,FW",26,ma MAR,La Liga,2324,11,5,10,12,3,21,24,fbref_cache
394.0,15,4.4,0,0,0,0.0,0.0,0.0,Amath,Mallorca,"FW,MF",27,sn SEN,La Liga,2324,12,3,3,6,7,10,7,fbref_cache
1560.0,19,17.3,1,0,1,0.06,0.0,0.06,Miguel Ángel Rubio,Granada,DF,25,es ESP,La Liga,2324,9,2,27,14,1,20,11,fbref_cache
164.0,11,1.8,0,0,0,0.0,0.0,0.0,Fabrizio Angileri,Getafe,DF,29,ar ARG,La Liga,2324,0,0,4,1,8,1,1,fbref_cache
339.0,7,3.8,0,0,0,0.0,0.0,0.0,Mauro Arambarri,Getafe,MF,27,uy URU,La Liga,2324,9,2,1,2,6,18,3,fbref_cache
543.0,11,6.0,0,0,0,0.0,0.0,0.0,Jon Aramburu,Real Sociedad,"DF,MF",21,ve VEN,La Liga,2324,4,0,7,15,7,11,5,fbref_cache
1462.0,25,16.2,1,0,1,0.06,0.0,0.06,Julian Araujo,Las Palmas,DF,21,mx MEX,La Liga,2324,7,2,10,21,22,13,9,fbref_cache
1997.0,25,22.2,1,2,3,0.05,0.09,0.14,Ronald Araújo,Barcelona,DF,24,uy URU,La Liga,2324,23,9,10,22,7,25,9,fbref_cache
265.0,12,2.9,0,0,0,0.0,0.0,0.0,Adu Ares,Athletic Club,MF,21,es ESP,La Liga,2324,4,0,1,4,11,5,12,fbref_cache
2660.0,37,29.6,1,6,7,0.03,0.2,0.24,Jesús Areso,Osasuna,"DF,MF",24,es ESP,La Liga,2324,9,2,20,26,113,30,20,fbref_cache
369.0,14,4.1,0,0,0,0.0,0.0,0.0,Matias Arezo,Granada,FW,20,uy URU,La Liga,2324,12,4,2,3,4,6,1,fbref_cache
17.0,1,0.2,0,0,0,0.0,0.0,0.0,Iñigo Arguibide,Osasuna,FW,18,es ESP,La Liga,2324,0,0,0,0,0,1,0,fbref_cache
929.0,26,10.3,2,1,3,0.19,0.1,0.29,José Arnaiz,Osasuna,"FW,MF",28,es ESP,La Liga,2324,29,9,3,8,45,8,19,fbref_cache
2047.0,34,22.7,9,4,13,0.4,0.18,0.57,Sergio Arribas,Almería,"MF,FW",21,es ESP,La Liga,2324,60,22,14,17,59,14,42,fbref_cache
1198.0,14,13.3,0,0,0,0.0,0.0,0.0,Kepa Arrizabalaga,Real Madrid,GK,28,es ESP,La Liga,2324,0,0,0,0,0,0,2,fbref_cache
2707.0,35,30.1,9,10,19,0.3,0.33,0.63,Iago Aspas,Celta Vigo,FW,35,es ESP,La Liga,2324,78,28,8,6,149,19,59,fbref_cache
864.0,17,9.6,1,3,4,0.1,0.31,0.42,Ezequiel Ávila,Osasuna,"FW,MF",29,ar ARG,La Liga,2324,27,6,4,2,80,8,20,fbref_cache
298.0,6,3.3,1,0,1,0.3,0.0,0.3,Ezequiel Ávila,Real Betis,"MF,FW",29,ar ARG,La Liga,2324,9,3,1,1,12,3,12,fbref_cache
1423.0,25,15.8,0,2,2,0.0,0.13,0.13,César Azpilicueta,Atlético Madrid,"DF,MF",33,es ESP,La Liga,2324,2,2,16,15,11,29,12,fbref_cache
1430.0,25,15.9,0,0,0,0.0,0.0,0.0,Iddrisu Baba,Almería,MF,27,gh GHA,La Liga,2324,8,2,11,24,4,29,34,fbref_cache
90.0,1,1.0,0,0,0,0.0,0.0,0.0,Srđan Babić,Almería,DF,27,rs SRB,La Liga,2324,1,0,0,2,0,2,0,fbref_cache
2277.0,28,25.3,0,1,1,0.0,0.04,0.04,Loïc Bade,Sevilla,DF,23,fr FRA,La Liga,2324,14,3,38,42,2,24,10,fbref_cache
2579.0,34,28.7,2,14,16,0.07,0.49,0.56,Álex Baena,Villarreal,"MF,FW",22,es ESP,La Liga,2324,73,26,14,20,173,52,57,fbref_cache
839.0,10,9.3,0,0,0,0.0,0.0,0.0,Eric Bailly,Villarreal,DF,29,ci CIV,La Liga,2324,2,0,8,3,0,6,5,fbref_cache
194.0,4,2.2,0,0,0,0.0,0.0,0.0,Cédric Bakambu,Real Betis,FW,32,cd COD,La Liga,2324,4,1,0,0,0,4,3,fbref_cache
1378.0,18,15.3,0,1,1,0.0,0.07,0.07,Alejandro Balde,Barcelona,"DF,MF",19,es ESP,La Liga,2324,5,1,5,9,37,8,18,fbref_cache
2873.0,33,31.9,0,1,1,0.0,0.03,0.03,Iván Balliu,Rayo Vallecano,DF,31,al ALB,La Liga,2324,11,4,28,31,69,41,30,fbref_cache
1981.0,27,22.0,3,2,5,0.14,0.09,0.23,Jonathan Bamba,Celta Vigo,"MF,FW",27,ci CIV,La Liga,2324,41,16,17,8,50,15,65,fbref_cache
1837.0,32,20.4,6,0,6,0.29,0.0,0.29,Léo Baptistão,Almería,"FW,MF",30,br BRA,La Liga,2324,48,18,12,16,26,21,29,fbref_cache
303.0,16,3.4,0,0,0,0.0,0.0,0.0,Kike Barja,Osasuna,"FW,MF",26,es ESP,La Liga,2324,4,2,3,2,23,8,4,fbref_cache
1427.0,29,15.9,4,1,5,0.25,0.06,0.32,Ander Barrenetxea,Real Sociedad,"MF,FW",21,es ESP,La Liga,2324,37,12,7,21,46,27,22,fbref_cache
1555.0,24,17.3,0,1,1,0.0,0.06,0.06,Pablo Barrios,Atlético Madrid,MF,20,es ESP,La Liga,2324,17,7,27,25,16,23,24,fbref_cache
225.0,3,2.5,0,0,0,0.0,0.0,0.0,Marc Bartra,Real Betis,DF,32,es ESP,La Liga,2324,3,0,2,3,0,4,1,fbref_cache
1530.0,17,17.0,0,0,0,0.0,0.0,0.0,Augusto Batalla,Granada,GK,27,ar ARG,La Liga,2324,1,0,0,0,0,0,2,fbref_cache
212.0,19,2.4,2,0,2,0.85,0.0,0.85,Bebé,Rayo Vallecano,"FW,MF",33,cv CPV,La Liga,2324,16,5,0,2,28,0,2,fbref_cache
771.0,15,8.6,2,2,4,0.23,0.23,0.47,Sheraldo Becker,Real Sociedad,"FW,MF",28,sr SUR,La Liga,2324,21,10,1,3,45,11,5,fbref_cache
1711.0,23,19.0,0,1,1,0.0,0.05,0.05,Héctor Bellerín,Real Betis,DF,28,es ESP,La Liga,2324,2,0,21,22,39,21,10,fbref_cache
2315.0,28,25.7,19,6,25,0.74,0.23,0.97,Jude Bellingham,Real Madrid,"MF,FW",20,eng ENG,La Liga,2324,63,35,20,35,22,32,72,fbref_cache
2428.0,33,27.0,0,0,0,0.0,0.0,0.0,Fran Beltrán,Celta Vigo,MF,24,es ESP,La Liga,2324,21,3,19,34,19,28,16,fbref_cache
1136.0,29,12.6,3,1,4,0.24,0.08,0.32,Carlos Benavídez,Alavés,MF,25,uy URU,La Liga,2324,14,7,18,35,6,37,9,fbref_cache
1930.0,27,21.4,3,1,4,0.14,0.05,0.19,Yuri Berchiche,Athletic Club,DF,33,es ESP,La Liga,2324,18,6,19,26,43,29,33,fbref_cache
1592.0,35,17.7,7,3,10,0.4,0.17,0.57,Álex Berenguer,Athletic Club,MF,28,es ESP,La Liga,2324,32,12,5,15,139,30,22,fbref_cache
2426.0,33,27.0,0,1,1,0.0,0.04,0.04,Antonio Blanco,Alavés,MF,23,es ESP,La Liga,2324,20,3,33,37,14,35,40,fbref_cache
2972.0,34,33.0,1,2,3,0.03,0.06,0.09,Daley Blind,Girona,DF,33,nl NED,La Liga,2324,17,6,19,21,16,19,12,fbref_cache
26.0,1,0.3,0,0,0,0.0,0.0,0.0,Adri Bosch,Granada,DF,22,es ESP,La Liga,2324,0,0,0,1,0,0,0,fbref_cache
